"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29258","Получение списка заказов","tests","Mon Sep 02 20:22:04 NOVT 2024","passed","Mon Sep 02 20:22:33 NOVT 2024","TestOrderList","test_get_order","",""
"","1776","Авторизация курьера с пустым паролем","tests","Mon Sep 02 20:21:52 NOVT 2024","passed","Mon Sep 02 20:21:54 NOVT 2024","TestRegistrationCourier","test_authorization_courier","",""
"","1303","Авторизация курьера с в пустым логином","tests","Mon Sep 02 20:21:51 NOVT 2024","passed","Mon Sep 02 20:21:52 NOVT 2024","TestRegistrationCourier","test_authorization_courier","",""
"","1911","Создание заказа с разными параметрами цвета","tests","Mon Sep 02 20:21:55 NOVT 2024","passed","Mon Sep 02 20:21:57 NOVT 2024","TestCreateOrder","test_create_order","",""
"","2263","Создание заказа с разными параметрами цвета","tests","Mon Sep 02 20:21:59 NOVT 2024","passed","Mon Sep 02 20:22:01 NOVT 2024","TestCreateOrder","test_create_order","",""
"","1667","Создание заказа с разными параметрами цвета","tests","Mon Sep 02 20:21:57 NOVT 2024","passed","Mon Sep 02 20:21:59 NOVT 2024","TestCreateOrder","test_create_order","",""
"","3264","Повторная регистрация курьера","tests","Mon Sep 02 20:22:40 NOVT 2024","passed","Mon Sep 02 20:22:44 NOVT 2024","TestRegistrationCourier","test_registration_courier","",""
"","2833","Создание заказа с разными параметрами цвета","tests","Mon Sep 02 20:22:01 NOVT 2024","passed","Mon Sep 02 20:22:04 NOVT 2024","TestCreateOrder","test_create_order","",""
"","1607","Авторизация курьера с валидными данными","tests","Mon Sep 02 20:21:48 NOVT 2024","passed","Mon Sep 02 20:21:49 NOVT 2024","TestRegistrationCourier","test_authorization_courier","",""
"","1435","Регистрация курьера с пустым логином","tests","Mon Sep 02 20:22:44 NOVT 2024","passed","Mon Sep 02 20:22:45 NOVT 2024","TestRegistrationCourier","test_registration_courier","",""
"","1511","Авторизация курьера с несуществующими данными","tests","Mon Sep 02 20:21:54 NOVT 2024","passed","Mon Sep 02 20:21:55 NOVT 2024","TestRegistrationCourier","test_authorization_courier","",""
"","1332","Регистрация курьера с валидными данными","tests","Mon Sep 02 20:22:36 NOVT 2024","passed","Mon Sep 02 20:22:37 NOVT 2024","TestRegistrationCourier","test_registration_courier","",""
